ID,Nodes,0930Richness(species number),0930Abundance(individuals number),0930shannon diversity index(H),0930Shannon Equitability Index (Eh),1001Richness(species number),1001Abundance(individuals number),1001shannon diversity index(H),1001Shannon Equitability Index (Eh),1002Richness(species number),1002Abundance(individuals number),1002shannon diversity index(H),1002Shannon Equitability Index (Eh),1003Richness(species number),1003Abundance(individuals number),1003shannon diversity index(H),1003Shannon Equitability Index (Eh),1004Richness(species number),1004Abundance(individuals number),1004shannon diversity index(H),1004Shannon Equitability Index (Eh),1005Richness(species number),1005Abundance(individuals number),1005shannon diversity index(H),1005Shannon Equitability Index (Eh),Average_Richness,Average_Abundance,Average_Shannon diversity(H),Average_shannon equitability(Eh)
1,park P1,2,7,0.410116318,0.591672779,5,21,1.210536763,0.75214878,2,7,0.598269589,0.863120569,5,15,1.337860678,0.831259577,1,8,0,0,4,7,1.277034259,0.921185497,3.166666667,10.83333333,0.805636268,0.659897867
2,park P2,4,7,1.153741943,0.83224889,5,11,1.414279065,0.87874099,5,9,1.149059697,0.713950932,5,20,1.415022588,0.879202967,4,5,1.33217904,0.960964047,4,7,1.277034259,0.921185497,4.5,9.833333333,1.290219432,0.864382221
7,park P7,4,5,1.33217904,0.960964047,2,5,0.500402424,0.721928095,6,31,1.42314131,0.794270288,5,17,1.466907105,0.91144063,6,37,0.993421665,0.554439188,7,56,1.426305017,0.732975784,5,25.16666667,1.19039276,0.779336339
8,park P8,6,11,1.672625446,0.933510036,2,12,0.450561209,0.650022422,3,10,0.801818553,0.729846699,3,4,1.039720771,0.94639463,3,7,0.79631164,0.724834092,4,7,1.277034259,0.921185497,3.5,8.5,1.006345313,0.817632229
9,park P9,2,5,0.673011667,0.970950594,4,8,1.073542846,0.77439747,3,5,1.054920168,0.960229718,3,7,1.078992208,0.982141033,2,3,0.636514168,0.918295834,3,4,1.039720771,0.94639463,2.833333333,5.333333333,0.926116971,0.925401547
10,park P10,2,4,0.562335145,0.811278124,2,3,0.636514168,0.918295834,2,5,0.673011667,0.970950594,2,2,0.693147181,1,0,0,0,0,3,4,1.039720771,0.94639463,1.833333333,3,0.600788155,0.774486531
11,park P11,4,8,1.386294361,1,2,4,0.693147181,1,3,11,0.759547391,0.69136983,5,8,1.559581156,0.969022256,4,9,1.149059697,0.828871363,2,5,0.673011667,0.970950594,3.333333333,7.5,1.036773576,0.910035674
6,park P6,6,13,1.519382665,0.847983611,5,19,1.256637907,0.780793032,6,25,1.471602889,0.82131721,4,23,1.192258932,0.860033024,4,13,1.351681195,0.975031878,7,15,1.617053153,0.831000935,5.333333333,18,1.401436123,0.852693282
4,park P4,2,4,0.693147181,1,2,4,0.693147181,1,4,10,1.313834033,0.947730922,1,1,0,0,4,10,1.313834033,0.947730922,2,2,0.693147181,1,2.5,5.166666667,0.784518268,0.815910307
5,park P5,3,8,0.900256051,0.819448372,2,2,0.693147181,1,3,6,0.693147181,0.630929754,2,3,0.636514168,0.918295834,2,4,0.562335145,0.811278124,2,4,0.562335145,0.811278124,2.333333333,4.5,0.674622478,0.831871701
3,park P3,3,3,1.098612289,1,0,0,0,0,3,9,1.060856947,0.965633607,3,11,0.859967281,0.782775953,4,9,1.273028337,0.918295834,7,10,1.504788284,0.773308205,3.333333333,7,0.966208856,0.740002266
14,L1 P3,1,2,0,0,1,1,0,0,0,0,0,0,2,2,0.693147181,1,0,0,0,0,3,4,1.039720771,0.94639463,1.166666667,1.5,0.288811325,0.324399105
16,L1 P5,2,4,0.562335145,0.811278124,2,2,0.693147181,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0.693147181,1,1.166666667,1.5,0.324771584,0.468546354
18,L1 P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,L1 P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,L1 P8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,4,0.693147181,1,0.666666667,1,0.11552453,0.166666667
20,L1 P9,3,3,1.098612289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.183102048,0.166666667
22,L1 P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,L1 P12,2,13,0.690185676,0.995727452,2,2,0.693147181,1,2,24,0.450561209,0.650022422,2,8,0.661563238,0.954434003,2,5,0.673011667,0.970950594,3,12,0.867563228,0.789690082,2.166666667,10.66666667,0.672672033,0.893470759
24,L1 P13,2,4,0.693147181,1,2,3,0.636514168,0.918295834,0,0,0,0,3,5,0.950270539,0.864973521,1,3,0,0,1,4,0,0,1.5,3.166666667,0.379988648,0.463878226
25,L1 P14,3,4,1.039720771,0.94639463,3,3,1.098612289,1,2,4,0.693147181,1,2,2,0.693147181,1,4,4,1.386294361,1,2,5,0.500402424,0.721928095,2.666666667,3.666666667,0.901887368,0.944720454
31,L1 P20,3,4,1.039720771,0.94639463,4,6,1.329661349,0.959147917,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0.636514168,0.918295834,1.666666667,2.333333333,0.500982715,0.47063973
15,L1 P4,3,8,1.039720771,0.94639463,2,2,0.693147181,1,3,6,1.098612289,1,3,8,0.974314753,0.886859507,4,6,1.242453325,0.896240625,4,4,1.386294361,1,3.166666667,5.666666667,1.07242378,0.954915794
12,L1 P1,2,3,0.636514168,0.918295834,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.666666667,1,0.106085695,0.153049306
13,L1 P2,2,3,0.636514168,0.918295834,1,2,0,0,1,2,0,0,2,7,0.598269589,0.863120569,1,3,0,0,2,3,0,0,1.5,3.333333333,0.205797293,0.296902734
17,L1 P6,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0.693147181,1,1,1,0,0,1,1,0,0,0.833333333,1.166666667,0.11552453,0.166666667
26,L1 P15,4,8,1.255482325,0.905639062,4,5,1.33217904,0.960964047,3,10,0.950270539,0.864973521,1,1,0,0,3,5,0.950270539,0.864973521,3,7,0.955699891,0.86991553,3,6,0.907317056,0.744410947
27,L1 P16,0,0,0,0,2,5,0.673011667,0.970950594,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.833333333,1.5,0.112168611,0.161825099
32,L1 P21,5,12,1.424129917,0.884861669,1,2,0,0,1,2,0,0,5,7,1.475076311,0.916516443,3,3,1.098612289,1,2,4,0.562335145,0.811278124,2.833333333,5,0.76002561,0.602109373
28,L1 P17,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.666666667,0.666666667,0,0
29,L1 P18,1,2,0,0,2,2,0.693147181,1,2,4,0.693147181,1,1,1,0,0,2,2,0.693147181,1,1,2,0,0,1.5,2.166666667,0.34657359,0.5
30,L1 P19,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0.5,0.833333333,0,0
33,L3 P1,1,3,0,0,1,1,0,0,1,2,0,0,2,2,0.693147181,1,1,1,0,0,1,1,0,0,1.166666667,1.666666667,0.11552453,0.166666667
34,L3 P2,2,4,0.562335145,0.811278124,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,2,3,0.636514168,0.918295834,1.166666667,1.833333333,0.199808219,0.288262326
35,L4 P1,1,2,0,0,0,0,0,0,1,4,0,0,3,5,1.054920168,0.960229718,2,3,0.636514168,0.918295834,2,3,0.636514168,0.918295834,1.5,2.833333333,0.387991417,0.466136898
36,L4 P2,3,4,1.039720771,0.94639463,1,2,0,0,1,2,0,0,1,2,0,0,2,4,0.562335145,0.811278124,2,3,0.636514168,0.918295834,1.666666667,2.833333333,0.373095014,0.445994765
37,L4 P3,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.5,0.666666667,0,0
38,L4 P4,0,0,0,0,1,1,0,0,1,2,0,0,2,2,0.693147181,1,1,1,0,0,1,1,0,0,1,1.166666667,0.11552453,0.166666667
39,L4 P5,2,7,0.598269589,0.863120569,2,2,0.693147181,1,3,10,0.950270539,0.864973521,3,10,0.801818553,0.729846699,3,5,0.950270539,0.864973521,4,11,0.885574152,0.638806718,2.833333333,7.5,0.813225092,0.826953505
40,L5 P1,1,3,0,0,1,6,0,0,2,8,0.562335145,0.811278124,4,8,0.974314753,0.702819531,4,9,1.310783678,0.945530556,2,6,0.450561209,0.650022422,2.333333333,6.666666667,0.549665797,0.518275106
41,L5 P2,2,4,0.562335145,0.811278124,1,2,0,0,2,12,0.636514168,0.918295834,1,4,0,0,4,10,1.088899975,0.785475297,4,8,1.320888343,0.952819531,2.333333333,6.666666667,0.601439605,0.577978131
42,L5 P3,0,0,0,0,1,3,0,0,2,10,0.500402424,0.721928095,1,3,0,0,2,7,0.410116318,0.591672779,1,8,0,0,1.166666667,5.166666667,0.151753124,0.218933479
43,L5 P4,1,1,0,0,1,1,0,0,1,6,0,0,1,3,0,0,2,4,0.562335145,0.811278124,1,4,0,0,1.166666667,3.166666667,0.093722524,0.135213021
44,L5 P5,1,1,0,0,1,1,0,0,2,8,0.562335145,0.811278124,3,7,0.79631164,0.724834092,2,6,0.450561209,0.650022422,2,6,0.450561209,0.650022422,1.833333333,4.833333333,0.3766282,0.472692843
45,L5 P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,L5 P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,L6 P1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0.5,1.333333333,0,0
48,L6 P2,2,3,0.636514168,0.918295834,0,0,0,0,4,14,1.277034259,0.921185497,2,19,0.691761499,0.998000884,0,0,0,0,2,10,0.673011667,0.970950594,1.666666667,7.666666667,0.546386932,0.634738801
49,L6 P3,0,0,0,0,4,8,1.213007566,0.875,1,2,0,0,1,1,0,0,4,17,1.053395498,0.759864231,0,0,0,0,1.666666667,4.666666667,0.377733844,0.272477372
50,L6 P4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,0.500402424,0.721928095,0.666666667,1.333333333,0.083400404,0.120321349
51,L6 P5,2,4,0.693147181,1,0,0,0,0,3,6,1.098612289,1,3,12,1.039720771,0.94639463,1,1,0,0,3,6,1.011404265,0.920619836,2,4.833333333,0.640480751,0.644502411
52,L6 P6,1,2,0,0,3,6,0.867563228,0.789690082,1,2,0,0,1,1,0,0,3,7,0.955699891,0.86991553,2,3,0.636514168,0.918295834,1.833333333,3.5,0.409962881,0.429650241
55,L7 P3,0,0,0,0,2,4,0.562335145,0.811278124,2,10,0.500402424,0.721928095,1,8,0,0,2,4,0.562335145,0.811278124,1,10,0,0,1.333333333,6,0.270845452,0.390747391
56,L7 P4,1,1,0,0,4,5,1.33217904,0.960964047,2,4,0.693147181,1,3,5,0.500402424,0.455485915,2,7,0.598269589,0.863120569,1,2,0,0,2.166666667,4,0.520666372,0.546595089
57,L7 P5,2,4,0.693147181,1,1,2,0,0,1,16,0,0,1,2,0,0,3,4,1.039720771,0.94639463,1,39,0,0,1.5,11.16666667,0.288811325,0.324399105
58,L7 P6,1,1,0,0,1,5,0,0,2,10,0.500402424,0.721928095,0,0,0,0,3,19,0.856997755,0.780072974,1,1,0,0,1.333333333,6,0.226233363,0.250333511
53,L7 P1,2,2,0.693147181,1,0,0,0,0,3,34,0.443757284,0.403925287,3,7,1.078992208,0.982141033,2,6,0.636514168,0.918295834,3,9,0.848685558,0.772506886,2.166666667,9.666666667,0.6168494,0.679478173
54,L7 P2,0,0,0,0,2,4,0.562335145,0.811278124,0,0,0,0,1,1,0,0,3,21,0.380506218,0.346351686,0,1,0,0,1,4.5,0.157140227,0.192938302
59,L7 P7,1,3,0,0,0,0,0,0,2,4,0.693147181,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.166666667,0.11552453,0.166666667
60,L7 P8,4,12,1.118743336,0.807002731,0,0,0,0,1,40,0,0,2,21,0.191444082,0.276195428,3,4,1.039720771,0.94639463,2,36,0.126930545,0.183122068,2,18.83333333,0.412806456,0.36878581
61,L7 P9,1,2,0,0,2,13,0.429323022,0.619382195,0,0,0,0,1,1,0,0,2,46,0.104732439,0.151096971,2,3,0.636514168,0.918295834,1.333333333,10.83333333,0.195094938,0.2814625
